class,stage,psnr,ssim
with_mask,blurred,26.518587672098526,0.6976946721928483
with_mask,inverse_filter,3.7879430896875728,0.03818750277775191
with_mask,wiener_filter,20.57885832016563,0.5058515516233563
with_mask,blurred,24.78300944476173,0.7313145363874454
with_mask,inverse_filter,7.239008679239435,0.19560355112471758
with_mask,wiener_filter,21.148854432869733,0.5915492712002183
with_mask,blurred,20.775395958091334,0.7275304985464249
with_mask,inverse_filter,6.7085189443045,0.1368664812795753
with_mask,wiener_filter,18.210762581894112,0.5754912525929174
with_mask,blurred,23.224908632036705,0.7046764820494152
with_mask,inverse_filter,8.263678066617395,0.0727673195677333
with_mask,wiener_filter,21.659509102862664,0.6246628265424808
with_mask,blurred,27.52899373213786,0.751067290174643
with_mask,inverse_filter,7.59187421817871,0.1638220692832715
with_mask,wiener_filter,18.74414305614365,0.44091978208686294
with_mask,blurred,31.51963455276453,0.9389978919390399
with_mask,inverse_filter,11.075029166526908,0.2607991246362622
with_mask,wiener_filter,26.59055303197308,0.8544618069803469
with_mask,blurred,21.510711678064776,0.6050476079374376
with_mask,inverse_filter,6.335985565367021,0.0731890813541747
with_mask,wiener_filter,18.575335209619553,0.4696371508807652
with_mask,blurred,19.761208747046172,0.7324202155914812
with_mask,inverse_filter,14.420791863228876,0.5974852826520742
with_mask,wiener_filter,18.962023671468625,0.6828580971324415
with_mask,blurred,25.95820460540655,0.6622505375947592
with_mask,inverse_filter,8.017013238464704,0.07428694392024457
with_mask,wiener_filter,21.439146886588265,0.5694553141036506
with_mask,blurred,22.6595679076498,0.5696396020689595
with_mask,inverse_filter,7.226320886163719,0.05075158543499283
with_mask,wiener_filter,20.75543891415517,0.5609024765068421
with_mask,blurred,24.27225748437811,0.6956325969839301
with_mask,inverse_filter,7.871315961676277,0.11207827045563323
with_mask,wiener_filter,21.055819941189352,0.58426501311572
without_mask,blurred,31.17135936238954,0.8849868258892931
without_mask,inverse_filter,7.587380431900658,0.0951166046348954
without_mask,wiener_filter,23.034218540766776,0.7676401829129292
without_mask,blurred,21.634653201834183,0.7242905843144466
without_mask,inverse_filter,11.84003470929735,0.3078778755714899
without_mask,wiener_filter,18.971047697341813,0.6007612347570039
without_mask,blurred,28.228128483747888,0.7915970415372481
without_mask,inverse_filter,7.669311810454245,0.0736961732252879
without_mask,wiener_filter,23.922712985326342,0.7281328929948513
without_mask,blurred,25.881175469092035,0.8219562930068589
without_mask,inverse_filter,20.28246048262657,0.5345427288439966
without_mask,wiener_filter,22.503264790498683,0.8288807454442654
without_mask,blurred,35.495633383426544,0.9676291743428752
without_mask,inverse_filter,11.059068438753767,0.15702947234965728
without_mask,wiener_filter,26.40895805850116,0.8782231493534377
without_mask,blurred,26.757164542968518,0.8215548250303334
without_mask,inverse_filter,7.441713798493716,0.09446679873937286
without_mask,wiener_filter,22.85246905425621,0.749459232350226
without_mask,blurred,25.74900018593751,0.8344328584722756
without_mask,inverse_filter,5.879580351991503,0.14698518746678374
without_mask,wiener_filter,19.8709726506679,0.6535954783479019
without_mask,blurred,27.955774093945074,0.8629619664505329
without_mask,inverse_filter,6.042637448114315,0.05250052073163764
without_mask,wiener_filter,23.421459727554836,0.744481276989864
without_mask,blurred,32.4043338402896,0.8983200722932445
without_mask,inverse_filter,7.801688509687395,0.0777559971081154
without_mask,wiener_filter,23.686907502995872,0.7620741865601366
without_mask,blurred,23.491696324389906,0.6861379044520208
without_mask,inverse_filter,7.0232017523728665,0.06585248007742753
without_mask,wiener_filter,20.95783214226578,0.6530871884087529
without_mask,blurred,36.36423540829837,0.9727392791172732
without_mask,inverse_filter,7.77927283208848,0.13393358385578139
without_mask,wiener_filter,22.548644121570014,0.7357710704525915
without_mask,blurred,35.035529860969945,0.9616327495240401
without_mask,inverse_filter,7.2290889142463675,0.0882409633388732
without_mask,wiener_filter,24.53299632724144,0.8000910166027486
without_mask,blurred,34.04766264469981,0.9516908470045083
without_mask,inverse_filter,6.123444553186079,0.167493200417247
without_mask,wiener_filter,20.29131377255435,0.7055140701736886
without_mask,blurred,24.998945954526683,0.8433975232360914
without_mask,inverse_filter,15.19519863161854,0.6246418139626144
without_mask,wiener_filter,25.72524066898442,0.8457098895119176
without_mask,blurred,34.77967987433266,0.9575176156570347
without_mask,inverse_filter,10.879452035058428,0.12463885524225973
without_mask,wiener_filter,26.35864003090548,0.8611579133685444
without_mask,blurred,29.224280368219468,0.8779883930458814
without_mask,inverse_filter,8.098862483115694,0.05324198856543265
without_mask,wiener_filter,24.856787051626043,0.7492375898848072
without_mask,blurred,32.89166351469372,0.9452955922007588
without_mask,inverse_filter,9.35503272351822,0.08104974985318393
without_mask,wiener_filter,25.836582092838558,0.862802922253399
without_mask,blurred,30.65922722155486,0.8957190606221237
without_mask,inverse_filter,6.562404440950664,0.10113653921451385
without_mask,wiener_filter,23.150380547305506,0.7699046779916355
without_mask,blurred,34.02009588353158,0.9558598536896189
without_mask,inverse_filter,9.534674439425274,0.08483450978879208
without_mask,wiener_filter,26.565053038338643,0.8492485127178077
without_mask,blurred,39.21600276936691,0.982587224118673
without_mask,inverse_filter,9.7694292362142,0.08843005759613577
without_mask,wiener_filter,26.397930565077218,0.8413025064989433
without_mask,blurred,34.907383297518365,0.9504289744089862
without_mask,inverse_filter,10.84350157253608,0.1567150210659062
without_mask,wiener_filter,25.01572213763168,0.8605226164578993
without_mask,blurred,28.46322807632393,0.8274939349503668
without_mask,inverse_filter,8.351157900912353,0.07652305807984287
without_mask,wiener_filter,24.85737830089954,0.7887285276811362
without_mask,blurred,34.404311510115676,0.977095088811741
without_mask,inverse_filter,7.7990076449280545,0.15128355014181724
without_mask,wiener_filter,21.781577546924403,0.7575633601131212
without_mask,blurred,25.00382253312408,0.7701334031064405
without_mask,inverse_filter,12.951045317333447,0.28164287047638265
without_mask,wiener_filter,23.737643187177895,0.7317214523000782
without_mask,blurred,34.883830959628014,0.9428021104747257
without_mask,inverse_filter,6.842332774271819,0.06975703224328729
without_mask,wiener_filter,24.252299169856823,0.764051066927478
without_mask,blurred,25.62639808494909,0.7144480740880766
without_mask,inverse_filter,9.574227390062822,0.09333376359809469
without_mask,wiener_filter,24.40410697102393,0.7590768553352044
without_mask,blurred,24.64734223385794,0.7814016464980201
without_mask,inverse_filter,5.51659546777581,0.08796434359293633
without_mask,wiener_filter,20.270525779821366,0.5939219426585294
without_mask,blurred,29.3852187714915,0.8203329357406792
without_mask,inverse_filter,4.6852866015828,0.07650079683955698
without_mask,wiener_filter,20.901718640437167,0.6913011557275227
without_mask,blurred,27.20047105481838,0.9090966723410396
without_mask,inverse_filter,25.87722761355764,0.8192802749461225
without_mask,wiener_filter,26.49403738746498,0.8906220954206507
without_mask,blurred,33.691408915239734,0.9500710587103313
without_mask,inverse_filter,6.3414824163558015,0.07869413438142485
without_mask,wiener_filter,23.520626788518072,0.76324373707889
incorrect_mask,blurred,24.279194024605953,0.7509142841187595
incorrect_mask,inverse_filter,4.0983295721500586,0.08463381588738564
incorrect_mask,wiener_filter,18.79242881635105,0.5054616755542829
incorrect_mask,blurred,22.374267566659036,0.5765160717104795
incorrect_mask,inverse_filter,7.3914700733748635,0.07212517682342251
incorrect_mask,wiener_filter,20.213094909885527,0.5417744400591039
incorrect_mask,blurred,23.45284261715919,0.657009973766525
incorrect_mask,inverse_filter,12.014568439603384,0.1266046255264178
incorrect_mask,wiener_filter,23.107302687264863,0.6106143609386782
incorrect_mask,blurred,26.89634041124964,0.8056200339862098
incorrect_mask,inverse_filter,8.261336656152071,0.13897998389231403
incorrect_mask,wiener_filter,21.270050189164156,0.6182343181783899
incorrect_mask,blurred,25.875439337114422,0.7241090471610494
incorrect_mask,inverse_filter,6.533293988780668,0.045163159016619055
incorrect_mask,wiener_filter,22.807270013922757,0.6162787914672346
incorrect_mask,blurred,23.758919408783044,0.7441202518102499
incorrect_mask,inverse_filter,11.787856938038956,0.21480723188752315
incorrect_mask,wiener_filter,22.699014265411968,0.6726494517670563
incorrect_mask,blurred,22.62369452379055,0.5701439956605434
incorrect_mask,inverse_filter,9.972278652771754,0.08875323796617739
incorrect_mask,wiener_filter,21.438037396709547,0.590010693760637
incorrect_mask,blurred,22.112163187466933,0.6718978637649502
incorrect_mask,inverse_filter,8.127190996410329,0.10033538265043229
incorrect_mask,wiener_filter,21.088957945713833,0.6192978294507117
incorrect_mask,blurred,21.01503600000649,0.6979498634655118
incorrect_mask,inverse_filter,6.730779195519174,0.14541892543333074
incorrect_mask,wiener_filter,17.73888705225725,0.49124161329959376
incorrect_mask,blurred,21.1937981266153,0.5895195016734767
incorrect_mask,inverse_filter,9.635613164292556,0.10909562922180016
incorrect_mask,wiener_filter,21.07642956278831,0.6208100679816105
incorrect_mask,blurred,26.85263665538189,0.8233860335435518
incorrect_mask,inverse_filter,12.209731057742061,0.15687247632283377
incorrect_mask,wiener_filter,25.559014270710616,0.7587072265164603
incorrect_mask,blurred,26.095614312417478,0.7753494538871596
