class,method,iou,dice
with_mask,canny_filled,0.6553951720087782,0.7918292660156468
with_mask,watershed,0.0014006111757857973,0.002797304415744828
with_mask,canny_filled,0.19593325739617645,0.32766587296479827
with_mask,watershed,0.005874499332443258,0.011680382267056012
with_mask,canny_filled,0.29822232394903486,0.45943182218878925
with_mask,watershed,0.002405150276682701,0.004798758817268316
with_mask,canny_filled,0.62445068359375,0.7688145782453504
with_mask,watershed,0.00017632330641464188,0.0003525844439743319
with_mask,canny_filled,0.47172426682448954,0.6410497909942325
with_mask,watershed,0.0037322874493927126,0.007436818554232054
with_mask,canny_filled,0.6235629071440729,0.7681413567657206
with_mask,watershed,0.00039625435358401636,0.0007921947965310207
with_mask,canny_filled,0.3239477592516038,0.48936637716691145
with_mask,watershed,0.006872100148822551,0.013650393426944312
with_mask,canny_filled,0.3477783203125,0.5160764423512363
with_mask,watershed,0.002918204445970303,0.005819426615318785
with_mask,canny_filled,0.513702392578125,0.6787363158000846
with_mask,watershed,0.005947128789750468,0.011823939090925039
with_mask,canny_filled,0.017519752662315355,0.03443619176232275
with_mask,watershed,0.002245949270066487,0.0044818325715403635
with_mask,canny_filled,0.553558349609375,0.7126328402773685
with_mask,watershed,0.0011837164998982743,0.002364633943581312
with_mask,canny_filled,0.7291183905624605,0.8433412015533389
with_mask,watershed,0.00298289917461824,0.005948055898207134
with_mask,canny_filled,0.6969734531556657,0.821431180151445
with_mask,watershed,0.0005505376344086022,0.0011004694189865364
with_mask,canny_filled,0.1398468017578125,0.24537824125513716
with_mask,watershed,0.00371708828084667,0.007406645406851147
with_mask,canny_filled,0.3556365966796875,0.5246783652060376
with_mask,watershed,0.007643378338561797,0.015170800509133442
with_mask,canny_filled,0.518218994140625,0.6826669882811714
with_mask,watershed,0.0,0.0
with_mask,canny_filled,0.45860783215161993,0.6288295209208069
with_mask,watershed,0.002633345381318738,0.005252858172829333
with_mask,canny_filled,0.494384765625,0.6616565920601208
with_mask,watershed,0.0075753149889972934,0.015036722071897952
with_mask,canny_filled,0.2475195152836328,0.3968186665638772
with_mask,watershed,0.01724775577446794,0.03391062929666843
with_mask,canny_filled,0.07626768009562193,0.14172622946151436
with_mask,watershed,0.000880741127348643,0.001759932210018577
with_mask,canny_filled,0.1526336669921875,0.26484332596407156
with_mask,watershed,0.004572612124591731,0.009103597031022013
with_mask,canny_filled,0.4955500597250963,0.6626993947847999
with_mask,watershed,0.0032652348524532912,0.00650921558730877
with_mask,canny_filled,0.5125078665827565,0.6776928277942477
with_mask,watershed,0.003497479210462672,0.006970578965907195
with_mask,canny_filled,0.4324320200201422,0.6037731829173458
with_mask,watershed,0.0003201132189911379,0.0006400215586209219
with_mask,canny_filled,0.31661940800881255,0.4809581357875492
with_mask,watershed,0.0018413847213104254,0.0036760005114435494
with_mask,canny_filled,0.447265625,0.6180836707152496
with_mask,watershed,0.0024330900243309003,0.0048543689320388345
with_mask,canny_filled,0.34967041015625,0.5181567403789626
with_mask,watershed,0.0036030545298103467,0.0071802382695983
with_mask,canny_filled,0.39214301409423363,0.5633659905974138
with_mask,watershed,0.0005804953560371517,0.0011603171533552505
with_mask,canny_filled,0.4594879150390625,0.6296563476879006
with_mask,watershed,0.003581060170652991,0.007136563876651982
with_mask,canny_filled,0.518798828125,0.6831699083748594
with_mask,watershed,0.0033652109435899384,0.006707848561791792
without_mask,canny_filled,0.4475439938791125,0.618349419114771
without_mask,watershed,0.013150227263898062,0.02595908663893096
without_mask,canny_filled,0.380340576171875,0.5510822223696138
without_mask,watershed,0.0045708839983763655,0.009100172165419345
without_mask,canny_filled,0.4261532039240242,0.5976261214454023
without_mask,watershed,0.00020682523267838676,0.00041356492969396195
without_mask,canny_filled,0.3750597449852758,0.5455177440152492
without_mask,watershed,0.003936139529359868,0.007841414158484444
without_mask,canny_filled,0.025433270780439343,0.049604926044739164
without_mask,watershed,0.005274633661461506,0.010493915761606304
without_mask,canny_filled,0.5082969861935526,0.674001195847149
without_mask,watershed,0.002654136520918528,0.005294221455322654
without_mask,canny_filled,0.569140385793019,0.7254167835408613
without_mask,watershed,0.00013029598905513692,0.00026055802844425144
without_mask,canny_filled,0.5142250984462285,0.6791924119787519
without_mask,watershed,0.0006997043749016041,0.0013984302620308703
without_mask,canny_filled,0.038152705848814555,0.07350114416475972
without_mask,watershed,6.463567027190072e-05,0.00012926298554408945
without_mask,canny_filled,0.5557861328125,0.71447626520204
without_mask,watershed,0.002109618220547272,0.004210354201156825
without_mask,canny_filled,0.02472959685349066,0.04826560475939164
without_mask,watershed,0.00010384431660055245,0.00020766706815633176
without_mask,canny_filled,0.015465561224489796,0.030460040822735124
without_mask,watershed,0.0011204249315295875,0.0022383419689119173
without_mask,canny_filled,0.025394382454790303,0.04953095684803002
without_mask,watershed,0.003961965134706815,0.007892659826361484
without_mask,canny_filled,0.16482024049319416,0.28299686898196064
without_mask,watershed,0.0051691567920315986,0.010285148041208931
without_mask,canny_filled,0.0181208918675087,0.03559673907539622
without_mask,watershed,0.005206968823683521,0.010359993484280827
without_mask,canny_filled,0.057427167006354154,0.10861678004535147
without_mask,watershed,7.947230390209013e-05,0.0001589319771137953
without_mask,canny_filled,0.028941894941806434,0.05625564491849813
without_mask,watershed,0.004097876861329871,0.008162305599408821
without_mask,canny_filled,0.08273862117401844,0.15283212320311357
without_mask,watershed,0.0041681267405617745,0.008301651146986978
without_mask,canny_filled,0.016704795614451592,0.0328606606096629
without_mask,watershed,0.003332706670540582,0.006643273259973427
without_mask,canny_filled,0.0032697345198506324,0.00651815639871859
without_mask,watershed,0.001693304535637149,0.0033808842047159883
without_mask,canny_filled,0.03152417397797275,0.06112154183726559
without_mask,watershed,0.0013852518122129873,0.0027666710882871272
without_mask,canny_filled,0.6806925709683914,0.8100143747005271
without_mask,watershed,0.0046715791700454815,0.009299713989928234
without_mask,canny_filled,0.005253619032324669,0.010452325528321694
without_mask,watershed,0.002099201188928107,0.004189607548708822
without_mask,canny_filled,0.5153045654296875,0.6801333239348687
without_mask,watershed,0.0005321094815258239,0.0010636529832142264
without_mask,canny_filled,0.02288090367339678,0.044738157866133346
without_mask,watershed,0.0,0.0
without_mask,canny_filled,0.6500900570870348,0.7879449419077925
without_mask,watershed,8.261561021955099e-05,0.000165217570888664
without_mask,canny_filled,0.3843647510235579,0.5552940447802793
without_mask,watershed,0.0019507587424793117,0.003893921383776694
without_mask,canny_filled,0.3831719408793958,0.5540481693632131
without_mask,watershed,0.004704175248080884,0.009364299191688602
without_mask,canny_filled,0.2819976806640625,0.43993477510503826
without_mask,watershed,0.0,0.0
without_mask,canny_filled,0.5766143798828125,0.7314589886281152
without_mask,watershed,0.013133075960301091,0.025925668151447662
incorrect_mask,canny_filled,0.3854728018055364,0.5564494680851064
incorrect_mask,watershed,0.0006256299746272288,0.0012504776129771788
incorrect_mask,canny_filled,0.3643341064453125,0.5340834106897208
incorrect_mask,watershed,0.009427788457605628,0.018679470815859318
incorrect_mask,canny_filled,0.44440875971015076,0.6153504078711488
incorrect_mask,watershed,0.0019939781858786467,0.00398002029810352
incorrect_mask,canny_filled,0.6853201174514891,0.8132818333502337
incorrect_mask,watershed,0.00227394328517924,0.004537568397170693
incorrect_mask,canny_filled,0.4988019372928881,0.6656008707779176
incorrect_mask,watershed,0.0030146918526998663,0.006011261604017653
incorrect_mask,canny_filled,0.7306365966796875,0.8443558839347904
incorrect_mask,watershed,0.0005011992983209823,0.0010018964468458153
incorrect_mask,canny_filled,0.3958587646484375,0.5671902841089211
incorrect_mask,watershed,0.004055452100144838,0.008078143675555373
incorrect_mask,canny_filled,0.40627394636015324,0.5778019957088854
incorrect_mask,watershed,0.007451221385773544,0.01479222264582539
incorrect_mask,canny_filled,0.5884857177734375,0.7409392620769815
incorrect_mask,watershed,0.0007040600797934757,0.0014071294559099437
incorrect_mask,canny_filled,0.6351777922198496,0.7768914123491838
incorrect_mask,watershed,0.0007368442597785374,0.001472603440165259
incorrect_mask,canny_filled,0.38444274809160306,0.5553754369713612
incorrect_mask,watershed,0.0010506788370298623,0.002099152139331223
incorrect_mask,canny_filled,0.26215799673446966,0.415412329379904
incorrect_mask,watershed,0.004503402026530912,0.008966424638175527
incorrect_mask,canny_filled,0.3714599609375,0.5417000445037828
incorrect_mask,watershed,0.007598331346841478,0.015082064172704421
incorrect_mask,canny_filled,0.5068738691512927,0.6727489002603465
incorrect_mask,watershed,0.0006407381303261357,0.0012806556957162068
incorrect_mask,canny_filled,0.4137115478515625,0.5852842448380446
incorrect_mask,watershed,0.002714871085779809,0.00541504103323019
incorrect_mask,canny_filled,0.39227021223883063,0.56349724182929
incorrect_mask,watershed,0.0017803135925870317,0.00355429941760877
incorrect_mask,canny_filled,0.583251953125,0.7367771781033153
incorrect_mask,watershed,0.0008107759494370635,0.0016202382486697475
incorrect_mask,canny_filled,0.7412567138671875,0.8514042851509442
