class,noise_type,filter,psnr,ssim
with_mask,saltpepper,none,18.081554267222486,0.25794615653766834
with_mask,saltpepper,mean,26.731089891654452,0.5813955680921569
with_mask,saltpepper,median,38.22698196832861,0.9774547587144887
with_mask,saltpepper,none,17.59769507642379,0.26967047687618123
with_mask,saltpepper,mean,26.494708274763525,0.5774467715405434
with_mask,saltpepper,median,39.948241340498136,0.9736901210127802
with_mask,saltpepper,none,16.977038105911273,0.3653220682284964
with_mask,saltpepper,mean,24.788685658188562,0.5814746662041034
with_mask,saltpepper,median,32.760432283806125,0.916609649006143
with_mask,saltpepper,none,16.62145642614653,0.3009548936967254
with_mask,saltpepper,mean,25.48564486697318,0.508303550427982
with_mask,saltpepper,median,40.545761661286335,0.972663706218278
with_mask,saltpepper,none,17.39831490653342,0.45094532789106645
with_mask,saltpepper,mean,23.10006088274202,0.6394426528533995
with_mask,saltpepper,median,26.988453570473126,0.8846226690380149
with_mask,saltpepper,none,17.154515138492705,0.27411747878490106
with_mask,saltpepper,mean,26.042689439233946,0.5630185104945117
with_mask,saltpepper,median,43.36832513517864,0.9860282273628195
with_mask,saltpepper,none,17.796573682826626,0.38786973216124804
with_mask,saltpepper,mean,25.009980528987978,0.6141197658055639
with_mask,saltpepper,median,30.344909682287206,0.8828257723774464
with_mask,saltpepper,none,16.89566999848363,0.32411057047839453
with_mask,saltpepper,mean,25.251949499314218,0.5555689099944351
with_mask,saltpepper,median,37.58369282692392,0.9711835098268259
with_mask,saltpepper,none,17.610003597054092,0.46752853744107803
with_mask,saltpepper,mean,23.514139767088437,0.6263209981192223
with_mask,saltpepper,median,27.060302233388125,0.8269073503068496
with_mask,saltpepper,none,17.688950679907947,0.3408511814798732
with_mask,saltpepper,mean,25.164941751432846,0.5608200675734998
with_mask,saltpepper,median,31.609772651866606,0.8749122744338926
with_mask,saltpepper,none,17.01255946049668,0.4173615933577926
with_mask,saltpepper,mean,24.04691982146928,0.6085828675691852
with_mask,saltpepper,median,29.678586380531947,0.922153747556297
with_mask,saltpepper,none,17.814937121113196,0.4206433319209757
with_mask,saltpepper,mean,23.711854922782702,0.5852656436884519
with_mask,saltpepper,median,26.89904881443382,0.7979807467514397
with_mask,saltpepper,none,17.181533858003483,0.28769632916461413
with_mask,saltpepper,mean,25.955073186560945,0.567041423229453
with_mask,saltpepper,median,41.7999139157597,0.9829941028136071
with_mask,saltpepper,none,17.982394480527244,0.4156956389777613
with_mask,saltpepper,mean,24.507742168576357,0.6006249402915907
