class,K,psnr,ssim
with_mask,1.0,14.189387596504716,0.5680175509007779
with_mask,0.001,19.53473682680022,0.48476163483783197
with_mask,0.01,21.555308871041653,0.5769094240625768
with_mask,0.1,20.739243770591127,0.5816149432161469
with_mask,1.0,11.00465957416998,0.37934635397031374
with_mask,0.001,17.656488734989168,0.458916972148046
with_mask,0.01,20.50572468113461,0.5824767399584238
with_mask,0.1,21.223427755951093,0.6005813665689584
with_mask,1.0,13.092747708648695,0.41565264999714135
with_mask,0.001,16.68207773903361,0.31128819619896664
with_mask,0.01,20.57885832016563,0.5058515516233563
with_mask,0.1,23.371005483361262,0.6243738874981543
with_mask,1.0,16.02684159589135,0.4976795695618506
without_mask,0.001,18.130049477152554,0.4087421672874042
without_mask,0.01,22.489250235213888,0.6880350988711819
without_mask,0.1,23.560118752357173,0.8292475853786189
without_mask,1.0,11.361364709427342,0.6721234203575058
without_mask,0.001,19.41964603871274,0.5317398125958146
without_mask,0.01,22.35809124938902,0.6380198173149304
without_mask,0.1,21.339159805954345,0.6231202198095779
without_mask,1.0,10.146462500355689,0.39977253011455566
without_mask,0.001,17.81933219400043,0.5093404507134958
without_mask,0.01,21.781577546924403,0.7575633601131212
without_mask,0.1,21.90984845822539,0.906208331475385
without_mask,1.0,8.962032185636255,0.6941715866919572
without_mask,0.001,21.19117325667478,0.6622897753419705
without_mask,0.01,25.561303571200806,0.8477185583127412
without_mask,0.1,24.573718305666702,0.9281054702900959
without_mask,1.0,11.412949663748641,0.7029008085771982
without_mask,0.001,17.711823142886715,0.4484001024168009
without_mask,0.01,19.252906089236305,0.5608442232063916
without_mask,0.1,18.299804910111114,0.5819577525674768
without_mask,1.0,9.558936529064644,0.42599581068105813
without_mask,0.001,29.59398150250376,0.8817408079157583
without_mask,0.01,30.423016995815928,0.9199658078758779
without_mask,0.1,25.353348200790087,0.916310455315405
without_mask,1.0,12.255948702909487,0.653500880765443
without_mask,0.001,25.308514782875164,0.7955247165576019
without_mask,0.01,28.110460639952684,0.9014889919103636
without_mask,0.1,24.887481916532014,0.9384722202150042
without_mask,1.0,11.99614070468928,0.6968102667047067
without_mask,0.001,18.503462053997904,0.5661637068560583
without_mask,0.01,22.509657850568132,0.7862478921672529
without_mask,0.1,22.72709637589141,0.904834177094173
without_mask,1.0,9.727230901503734,0.6868879441490151
without_mask,0.001,19.099537954368643,0.6269870973756586
without_mask,0.01,23.24143116366963,0.821489318125653
without_mask,0.1,23.283403118377883,0.922551771430802
without_mask,1.0,10.456727184966649,0.7032715238942245
without_mask,0.001,16.520515459653634,0.47460152515928483
without_mask,0.01,20.745777940220677,0.7341625428893994
without_mask,0.1,21.85305710153552,0.8969043414409388
without_mask,1.0,9.214428652310195,0.7040957437934131
