class,method,compression_ratio,psnr,ssim
with_mask,jpeg_q30,4.955127166693666,30.202723796379345,0.8805809381621864
with_mask,jpeg_q70,2.704031117397454,33.19113680333106,0.9326573842511627
with_mask,jpeg_q90,1.3370049829530553,37.13660487592636,0.9685842854985238
with_mask,wavelet_t70,3.3257438638631864,39.41203066988814,0.9697656673165443
with_mask,wavelet_t90,9.992782719186785,30.611175030893946,0.8587719230604164
with_mask,jpeg_q30,4.205717038702425,31.138870021931112,0.9083906074724889
with_mask,jpeg_q70,2.4150682405016597,35.16602568963996,0.9579688385760893
with_mask,jpeg_q90,1.3112858001201682,39.92416267188244,0.9825198479026328
with_mask,wavelet_t70,3.322821071845054,41.30881777349953,0.9782128954814123
with_mask,wavelet_t90,9.992782719186785,30.38929118706523,0.881416457596777
with_mask,jpeg_q30,5.233531746031746,29.937790074563,0.8761468625222183
with_mask,jpeg_q70,2.810548748002131,33.05982953324762,0.9278866450691582
with_mask,jpeg_q90,1.3266106724337374,37.752700425042875,0.9685977976134232
with_mask,wavelet_t70,3.322484157160963,42.27067920078437,0.9769546375263723
with_mask,wavelet_t90,9.992782719186785,31.32331028276164,0.8826327379620066
with_mask,jpeg_q30,4.017308189098424,36.748806514904366,0.944359426087488
with_mask,jpeg_q70,2.4321238661244915,41.72035661869215,0.9768310933336197
with_mask,jpeg_q90,1.3150951374207187,46.216006795109905,0.9898824669727747
with_mask,wavelet_t70,3.3265316481396883,49.31959021732205,0.9939735563290181
with_mask,wavelet_t90,9.995831003101326,37.68472352109395,0.9580161631302472
with_mask,jpeg_q30,4.998474834773767,26.760453518655854,0.8182201940832444
with_mask,jpeg_q70,2.5627525087970806,30.177037070317716,0.9057281208237069
with_mask,jpeg_q90,1.3436282883498463,35.19356567765484,0.961692748945234
with_mask,wavelet_t70,3.3322260262363987,34.77538620531408,0.9419059452796917
with_mask,wavelet_t90,9.988213777687461,26.657151756707922,0.756288017660027
with_mask,jpeg_q30,4.729981718464351,30.893825333744314,0.8758635402698435
with_mask,jpeg_q70,2.51072295002426,34.78319696543523,0.9396186970995224
with_mask,jpeg_q90,1.3056620912394026,39.72729296842361,0.9766408796774582
with_mask,wavelet_t70,3.3274887452188335,41.86367214116609,0.9724989323513235
with_mask,wavelet_t90,9.99379860722818,31.48553418214991,0.8678864757905379
with_mask,jpeg_q30,5.659136546184739,28.355975963666378,0.758067111659568
with_mask,jpeg_q70,2.739489671931956,31.13935090744105,0.8740703459190495
with_mask,jpeg_q90,1.3555796055796057,35.6706091253989,0.949303799306394
with_mask,wavelet_t70,3.3140834386852087,37.380845351500916,0.9511247868141938
with_mask,wavelet_t90,9.98922873691698,29.63846906175587,0.7804887940960309
with_mask,jpeg_q30,4.080232558139535,33.924828491505664,0.9348085544721679
with_mask,jpeg_q70,2.412789365115746,38.27409843955866,0.9713188829272351
with_mask,jpeg_q90,1.2977870923996795,42.94932991270146,0.98849966848014
with_mask,wavelet_t70,3.327883004113137,44.534111303650604,0.987299174306406
with_mask,wavelet_t90,9.993290637389448,33.155066737078926,0.9145509214936663
with_mask,jpeg_q30,4.167160536865958,33.47566778244395,0.9255246460000128
with_mask,jpeg_q70,2.4212072108567955,37.67707793305047,0.9662058665081129
with_mask,jpeg_q90,1.293598831232076,42.06682768035886,0.9857041466847388
with_mask,wavelet_t70,3.3304197581054984,42.90993578106972,0.982235937890418
with_mask,wavelet_t90,9.994306628710858,31.941443285925644,0.9069761324393443
with_mask,jpeg_q30,3.607005141388175,39.00094462907341,0.9612978814565115
with_mask,jpeg_q70,2.3439131342660264,44.22075830480785,0.9843104239174559
with_mask,jpeg_q90,1.343506882106523,48.50072026628473,0.9926657053637474
with_mask,wavelet_t70,3.323607471895867,50.97132923903076,0.9960831445950286
with_mask,wavelet_t90,9.968968664435655,41.47829662164292,0.9729171957362084
with_mask,jpeg_q30,5.85019680481593,33.881179976218526,0.8778511212824694
with_mask,jpeg_q70,3.099865047233468,36.86003455336488,0.9234481926144081
with_mask,jpeg_q90,1.3011483598537514,39.7662323992871,0.9601821766804471
with_mask,wavelet_t70,3.314921598381386,41.86080862829107,0.9662422335789196
with_mask,wavelet_t90,9.99633923123856,34.78700533550462,0.885282777331312
with_mask,jpeg_q30,5.380404527741696,29.450602295003776,0.8388662719543695
with_mask,jpeg_q70,2.836251589552969,32.65656936979058,0.9072932390110116
with_mask,jpeg_q90,1.3362982763388331,37.05327711831882,0.9579212446443659
with_mask,wavelet_t70,3.3213054936144335,41.21300435141243,0.9694232912876976
with_mask,wavelet_t90,9.995831003101326,31.627257756190723,0.8359636005342373
with_mask,jpeg_q30,4.844357282938135,30.143459033457077,0.8795739139044042
with_mask,jpeg_q70,2.6375461075519318,33.46054103052738,0.9340723455276709
with_mask,jpeg_q90,1.3354302845628347,37.737936726186604,0.969979860410314
with_mask,wavelet_t70,3.3274887452188335,42.655899941695154,0.9787188586309036
with_mask,wavelet_t90,9.998372660699756,31.897656488182918,0.8916487150577236
with_mask,jpeg_q30,5.619736015084852,28.801744894282344,0.7721393797984106
with_mask,jpeg_q70,2.8045796737766624,31.542663333312795,0.8657364649331752
with_mask,jpeg_q90,1.3409823772028497,35.516938092749584,0.942235699720012
with_mask,wavelet_t70,3.3295173581710413,36.812275406599234,0.942558702398265
with_mask,wavelet_t90,9.997355842570935,30.114837659909107,0.769779341313758
with_mask,jpeg_q30,4.78966049382716,28.993493784269816,0.8606806526876308
with_mask,jpeg_q70,2.6046492111446793,32.67112627039271,0.9243828664637176
with_mask,jpeg_q90,1.3387249827467218,37.25440258542729,0.9640603907740067
with_mask,wavelet_t70,3.3319436677004424,41.36112929523718,0.9705880751000778
with_mask,wavelet_t90,9.986691725504139,29.87632887275673,0.834919054679304
with_mask,jpeg_q30,4.19518486672399,30.9993285527569,0.9186455777164152
with_mask,jpeg_q70,2.4626488996567737,34.67338816269627,0.9565552936664009
with_mask,jpeg_q90,1.329210483299733,39.019279560327924,0.9795721948593755
with_mask,wavelet_t70,3.322877230935641,44.048787775144305,0.9854399756256885
with_mask,wavelet_t90,9.997355842570935,30.17234238759929,0.8966882112105695
with_mask,jpeg_q30,4.937079124579125,31.244666393898072,0.8635276504471796
with_mask,jpeg_q70,2.7562265037593985,34.536558192251846,0.9211218617480034
with_mask,jpeg_q90,1.3458581918311152,38.68311474827778,0.965466573898872
with_mask,wavelet_t70,3.328502742601747,45.299774754716125,0.9825929005453783
with_mask,wavelet_t90,9.978075517661388,35.591885469187915,0.8981032805287348
with_mask,jpeg_q30,4.744189189189189,28.75693029957294,0.8676893805239397
with_mask,jpeg_q70,2.594177196482672,31.986431150859502,0.9291081992684957
with_mask,jpeg_q90,1.3478845120172003,35.92272604029863,0.9675684196754332
with_mask,wavelet_t70,3.3226526059622796,36.38511219479974,0.9583824376963533
with_mask,wavelet_t90,9.995322826639553,28.282923568848382,0.8147405299794269
with_mask,jpeg_q30,4.940975192472198,28.52282948194783,0.855670969760927
with_mask,jpeg_q70,2.675519184744847,31.704336894145293,0.9193609671834357
with_mask,jpeg_q90,1.3529572516103845,35.85090436709328,0.9634491355322744
with_mask,wavelet_t70,3.32833370012358,38.85584602680301,0.9653734151230053
with_mask,wavelet_t90,9.9907515625794,29.253566497817538,0.8306276975674812
with_mask,jpeg_q30,5.75820419325433,31.44903717800532,0.7794880049658564
with_mask,jpeg_q70,2.680280046674446,34.93455569792238,0.897002316384189
with_mask,jpeg_q90,1.3026912765518663,39.55236919159947,0.9626350439809049
with_mask,wavelet_t70,3.3120735836660433,40.313988914520216,0.9564930896049323
with_mask,wavelet_t90,9.98364901233941,33.19890883216273,0.8093902624743515
without_mask,jpeg_q30,3.900785854616896,38.90328765905149,0.9513180661076489
without_mask,jpeg_q70,2.408126137052759,44.246321876925634,0.9821707439212526
without_mask,jpeg_q90,1.3341919587859783,49.23995900971454,0.9932645506578804
