class,kernel_size,psnr,ssim
with_mask,3,29.771630215009086,0.8610367256663766
with_mask,5,28.01366856847553,0.8171912205846862
with_mask,7,25.486232363746126,0.7645879593432182
with_mask,3,35.59379408464843,0.9727713724645742
with_mask,5,31.340065651457078,0.934320066058417
with_mask,7,27.805188435087125,0.8563374897981397
with_mask,3,30.60125514678319,0.8745312347208655
with_mask,5,28.671777589443323,0.8337137467508814
with_mask,7,27.310758115611765,0.796680650733088
with_mask,3,31.019042306426403,0.8573592676050764
with_mask,5,29.40722247178257,0.8029008930027514
with_mask,7,28.26911697511628,0.7629528591214952
with_mask,3,28.62482333196298,0.8863330095186268
with_mask,5,26.697127350752687,0.8286251363568876
with_mask,7,25.289261361121255,0.7709552130998475
with_mask,3,43.05978898839718,0.9863174492188437
with_mask,5,42.54447437724331,0.9855393692156659
with_mask,7,39.773168522428485,0.9774938530281577
with_mask,3,30.439880885730147,0.8528370507240014
with_mask,5,28.982490585005742,0.7927252120653989
with_mask,7,27.83898014658138,0.7449572632515307
with_mask,3,29.368458537042414,0.8805836767416045
with_mask,5,27.477597444212407,0.8423547626572406
with_mask,7,26.001894075380243,0.8071731340575564
with_mask,3,27.90518790084976,0.8812644305249041
with_mask,5,25.152627661577895,0.8071691719195365
with_mask,7,23.650577138690533,0.7460086794276947
with_mask,3,27.629418527881505,0.8540522839643963
with_mask,5,27.24919857349193,0.8146741573690591
with_mask,7,26.70330077803236,0.7814617968835483
with_mask,3,30.560514949944363,0.9205533296268422
with_mask,5,27.241635699611223,0.8231535991463055
with_mask,7,25.691157501445787,0.7504266808557994
with_mask,3,37.375250835607815,0.9698906091350832
with_mask,5,34.82010307104579,0.9419718896198336
with_mask,7,32.00524030265784,0.8981180585001604
with_mask,3,30.512963716936838,0.9335629365443935
with_mask,5,27.856170233395666,0.867190882320536
with_mask,7,26.394758117719782,0.8063700064999902
with_mask,3,32.26352634064948,0.9056655382702511
with_mask,5,30.555277498352787,0.8751659280480281
with_mask,7,28.820217357644786,0.8397974883241508
with_mask,3,29.55178792154298,0.8344469642754865
with_mask,5,27.937135711288303,0.7641471560882391
with_mask,7,26.87358346522602,0.7053545425424371
with_mask,3,29.11617150461626,0.8474898402058879
with_mask,5,27.514386218151227,0.7930346840202652
with_mask,7,26.5457329957103,0.7488870518562054
with_mask,3,36.11363850184902,0.9152693342674024
with_mask,5,33.727896446464364,0.8740682948117757
with_mask,7,32.106469438351645,0.8359645467572552
with_mask,3,36.028276976413764,0.949625932757098
with_mask,5,32.37362858915246,0.8855964887352853
with_mask,7,30.18454991870911,0.8258639642640636
with_mask,3,43.03016892859588,0.9859955138463294
with_mask,5,41.80697900904769,0.9829794512246544
with_mask,7,39.33510726132504,0.9726053479411814
with_mask,3,28.983352558440515,0.8322338766248651
with_mask,5,27.561225564266003,0.7717342547847541
with_mask,7,26.45335919799051,0.7237574169317273
without_mask,3,44.403002401652714,0.9889136092101186
without_mask,5,43.97986217892273,0.9888951826606922
without_mask,7,41.21850557948367,0.9832183764267001
without_mask,3,35.99732164359083,0.9626258112326035
without_mask,5,33.834521931716985,0.9417497429796251
without_mask,7,31.320253122720494,0.9045171888220747
without_mask,3,40.35909511201609,0.9781621971433286
without_mask,5,38.78713643829886,0.9792735361677632
without_mask,7,35.70435428200601,0.9696792754981551
without_mask,3,40.042320607643475,0.9723926119935477
without_mask,5,40.81785996202641,0.9798879835825627
without_mask,7,40.056951533985306,0.9777812928073982
without_mask,3,40.86741501366055,0.9762152708142399
without_mask,5,40.69245485928613,0.9796922342862441
without_mask,7,39.09698892166319,0.9740817334292652
without_mask,3,40.8504577382117,0.9826210835835312
without_mask,5,39.940581143605904,0.9827572749064283
without_mask,7,37.581971599533276,0.9754501823382208
without_mask,3,36.409780004576405,0.9503982180835907
without_mask,5,36.357416681259394,0.9588072932929267
without_mask,7,34.54750255496804,0.9443742099626117
without_mask,3,36.80876953980503,0.9525224148037648
without_mask,5,36.31049722147222,0.9480641584247422
without_mask,7,34.2724438232624,0.9144263602576904
without_mask,3,37.74650706351076,0.96943871041301
without_mask,5,35.077546464551205,0.940509075232287
without_mask,7,32.55828748694256,0.908701171809491
without_mask,3,39.48310609583196,0.9736023847059648
without_mask,5,37.68290600160516,0.9651513533738422
without_mask,7,34.98964845592868,0.9398921586532755
without_mask,3,42.99706997767793,0.9780518260586547
without_mask,5,43.49761832089748,0.9833252555106444
without_mask,7,42.7747236336759,0.9817605278237149
without_mask,3,36.372955156679694,0.9616680537643231
without_mask,5,33.38712788801425,0.9282290265716236
without_mask,7,31.12879163655414,0.8936950351642499
without_mask,3,38.323186105386924,0.959204677189749
without_mask,5,39.2951572543399,0.9728488516809713
without_mask,7,38.53271568355311,0.971145574264344
without_mask,3,39.0535708352381,0.9686693056570416
without_mask,5,39.70547513996945,0.9758863675181596
without_mask,7,37.953797985176934,0.9684255874789764
without_mask,3,37.267255274868795,0.9654227193293353
without_mask,5,33.99849360692536,0.9369821432046249
without_mask,7,31.80803847725782,0.9040191573318075
without_mask,3,39.94198539580652,0.9795667735443366
without_mask,5,37.67477236093667,0.9659366485039446
without_mask,7,34.452825362536515,0.9304587943286724
