class,method,iou,dice
without_mask,canny,0.01644220244610479,0.032352459208277735
without_mask,watershed,7.947230390209013e-05,0.0001589319771137953
without_mask,canny,0.013537663100687899,0.02671368532921115
without_mask,watershed,0.004097876861329871,0.008162305599408821
without_mask,canny,0.021463273149155245,0.04202456165258749
without_mask,watershed,0.0041681267405617745,0.008301651146986978
without_mask,canny,0.009476018205158128,0.018774132390002543
without_mask,watershed,0.003332706670540582,0.006643273259973427
without_mask,canny,0.0025131708770035556,0.0050137413652232045
without_mask,watershed,0.001693304535637149,0.0033808842047159883
without_mask,canny,0.0099150825050661,0.01963547762941022
without_mask,watershed,0.0013852518122129873,0.0027666710882871272
without_mask,canny,0.026872399445214978,0.05233834205639034
without_mask,watershed,0.0046715791700454815,0.009299713989928234
without_mask,canny,0.003592152528322741,0.007158590308370044
without_mask,watershed,0.002099201188928107,0.004189607548708822
without_mask,canny,0.05755270970118529,0.10884130724311034
without_mask,watershed,0.0005321094815258239,0.0010636529832142264
without_mask,canny,0.012462668133743516,0.024618523775727465
without_mask,watershed,0.0,0.0
without_mask,canny,0.07442966616753281,0.13854730283653058
without_mask,watershed,8.261561021955099e-05,0.000165217570888664
without_mask,canny,0.10705021713153216,0.1933972198820556
without_mask,watershed,0.0019507587424793117,0.003893921383776694
without_mask,canny,0.046352995891791336,0.08859915549299949
without_mask,watershed,0.004704175248080884,0.009364299191688602
without_mask,canny,0.016875011113679606,0.03318994159409646
without_mask,watershed,0.0,0.0
without_mask,canny,0.01782686873876188,0.0350292751867555
without_mask,watershed,0.013133075960301091,0.025925668151447662
incorrect_mask,canny,0.09833110267405971,0.17905548233070553
incorrect_mask,watershed,0.0006256299746272288,0.0012504776129771788
incorrect_mask,canny,0.16027328384253645,0.2762681621208259
incorrect_mask,watershed,0.009427788457605628,0.018679470815859318
incorrect_mask,canny,0.10450932268581267,0.18924117803130805
incorrect_mask,watershed,0.0019939781858786467,0.00398002029810352
incorrect_mask,canny,0.05539132123513799,0.10496830913923533
incorrect_mask,watershed,0.00227394328517924,0.004537568397170693
incorrect_mask,canny,0.1097554788961039,0.19780119311558592
incorrect_mask,watershed,0.0030146918526998663,0.006011261604017653
incorrect_mask,canny,0.06408521155770024,0.12045127751354939
incorrect_mask,watershed,0.0005011992983209823,0.0010018964468458153
incorrect_mask,canny,0.1752852274411024,0.29828542612203734
incorrect_mask,watershed,0.004055452100144838,0.008078143675555373
incorrect_mask,canny,0.09838417192194224,0.17914346261889508
incorrect_mask,watershed,0.007451221385773544,0.01479222264582539
incorrect_mask,canny,0.07346910243265915,0.13688163407063317
incorrect_mask,watershed,0.0007040600797934757,0.0014071294559099437
incorrect_mask,canny,0.1366241566736459,0.2404034013732021
incorrect_mask,watershed,0.0007368442597785374,0.001472603440165259
incorrect_mask,canny,0.050392247346562065,0.09594938933309903
incorrect_mask,watershed,0.0010506788370298623,0.002099152139331223
incorrect_mask,canny,0.06588962438717308,0.1236331096196868
incorrect_mask,watershed,0.004503402026530912,0.008966424638175527
incorrect_mask,canny,0.16123292024149985,0.2776926444833625
incorrect_mask,watershed,0.007598331346841478,0.015082064172704421
incorrect_mask,canny,0.1758249889014946,0.29906659674882013
incorrect_mask,watershed,0.0006407381303261357,0.0012806556957162068
incorrect_mask,canny,0.10911244355614776,0.19675632383367817
incorrect_mask,watershed,0.002714871085779809,0.00541504103323019
incorrect_mask,canny,0.13081407199054257,0.23136265320836338
incorrect_mask,watershed,0.0017803135925870317,0.00355429941760877
incorrect_mask,canny,0.17125288239815525,0.2924268276676729
incorrect_mask,watershed,0.0008107759494370635,0.0016202382486697475
incorrect_mask,canny,0.12197206627945376,0.2174244260535337
incorrect_mask,watershed,0.0013415892672858616,0.0026795836339276514
incorrect_mask,canny,0.11172957119308086,0.20100134796841904
incorrect_mask,watershed,0.0024345818831040017,0.004857338178678085
incorrect_mask,canny,0.09139290725240698,0.16747938647043178
incorrect_mask,watershed,0.002966162023634379,0.005914779851893912
incorrect_mask,canny,0.19387947016308874,0.32478901766625407
incorrect_mask,watershed,0.0054863524542153146,0.010912833258898231
incorrect_mask,canny,0.11339510007833392,0.2036924719182901
incorrect_mask,watershed,0.0027856404726602866,0.005555804471526502
incorrect_mask,canny,0.030676389238119186,0.05952671383264211
incorrect_mask,watershed,0.0003299986105321662,0.0006597794947478079
incorrect_mask,canny,0.10281424836233799,0.18645796155611075
incorrect_mask,watershed,0.00700172293705781,0.013906079359301056
incorrect_mask,canny,0.11280065226253568,0.2027329010513976
incorrect_mask,watershed,0.0007126277639776846,0.0014242405745793403
incorrect_mask,canny,0.07579749018105182,0.1409140491084348
incorrect_mask,watershed,0.0017847061608785126,0.003563053318547874
incorrect_mask,canny,0.10746349378042185,0.1940713971773209
incorrect_mask,watershed,0.0011154602794735027,0.002228434828410518
incorrect_mask,canny,0.1799113296822026,0.3049573729081149
incorrect_mask,watershed,0.00012155394564107552,0.00024307834415031966
incorrect_mask,canny,0.1426330727480954,0.2496568253622399
incorrect_mask,watershed,0.0,0.0
incorrect_mask,canny,0.07668993566805499,0.1424550060839402
incorrect_mask,watershed,0.001378094703950004,0.002752396345073691
